Region,Ocean,Latitude (N),Longitude €,Location,Depth (m),Depth range,SCOC (mmol O2 m-2 d-1),ex situ/ in situ,Measurement/ sampling device,TOU/ DOU/ AOU,median sediment grain size (?m),sediment type,photosynthetic sediment,dark/ light incubation/ measurements,Reference
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),6.8412,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),25.99632,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),91.7952,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Thanneermukkam, India",Indian Ocean,9.6806,76.4063,approximated location,NA,near-shore (0-50m),106.09944,in situ,benthic incubation chamber,TOU,NA,silty sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),3.9804,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),36.5688,in situ,benthic incubation chamber,TOU,NA,sandy silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),55.10208,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Arookutty, India",Indian Ocean,9.8716,76.3205,approximated location,NA,near-shore (0-50m),57.714,in situ,benthic incubation chamber,TOU,NA,clayey silt,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),13.93104,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),14.67744,in situ,benthic incubation chamber,TOU,NA,sand,yes,light,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),22.2648,in situ,benthic incubation chamber,TOU,NA,sand,yes,dark,"Abhilash, K. R., Raveendran, T. V., Limna Mol, V. P. & Deepak, M. P. Sediment oxygen demand in Cochin backwaters, a tropical estuarine system in the south-west coast of India. Mar. Environ. Res. 79, 160–166 (2012)."
